cliente_id,tipo_cliente,antiguedad_meses,tiene_movil,tiene_hogar,oferta_hogar_id,tiene_internet_hogar,es_movistar_total,elegible_mt,plan_actual_id,monto_facturado_prom,edad_rango,ubicacion_departamento,es_usuario_app,consumo_datos_gb_prom,consumo_voz_min_prom,consumo_sms_prom,uso_app_movistar_prom,monto_facturado_prom_6m,dias_mora_prom,meses_moroso,n_reclamos,n_actividad_canal,canal_mas_usado,mejor_franja_horaria_contacto,dias_agotamiento_datos_promedio,metodo_pago_frecuente
CLI_000001,postpago,80,True,False,sin_servicio_hogar,False,False,False,OFE_001,152.98,36-45,La Libertad,False,64.12,14.43,1.94,7.25,120.09,7.57,2,4,48,Tienda,Fin_de_semana,24,Debito_Automatico
CLI_000002,prepago,86,True,False,sin_servicio_hogar,False,False,False,OFE_001,55.55,65+,Lima,False,13.13,308.75,36.88,12.71,281.67,10.32,0,3,20,Call_Out,Noche,28,App_MiMovistar
CLI_000003,no_aplica,105,False,True,OFE_016,True,False,False,OFE_009,285.71,18-25,La Libertad,True,0.0,0.0,0.0,0.0,157.24,2.63,5,0,36,Call_Out,Fin_de_semana,-1,App_MiMovistar
CLI_000004,postpago,72,True,True,OFE_009,True,False,True,OFE_002,209.82,65+,Lima,True,4.17,342.34,45.83,18.86,255.43,19.7,5,2,36,Call_In,Noche,12,Debito_Automatico
CLI_000005,prepago,50,True,False,sin_servicio_hogar,False,False,False,OFE_005,97.37,26-35,Lima,True,72.41,651.28,37.38,17.72,229.45,27.36,1,4,17,Digital,Tarde,19,Banca_Movil
CLI_000006,postpago,112,True,False,sin_servicio_hogar,False,False,False,OFE_022,46.31,46-55,La Libertad,False,87.53,706.07,9.44,29.9,128.99,9.43,3,2,3,Tienda,Manana,15,Banca_Movil
CLI_000007,postpago,73,True,True,OFE_016,True,False,True,OFE_004,85.16,65+,Lima,True,21.12,248.78,14.85,2.0,97.11,16.85,3,1,44,Call_Out,Noche,13,Debito_Automatico
CLI_000008,postpago,49,True,True,OFE_016,True,False,True,OFE_005,76.45,46-55,Lima,False,85.11,34.88,26.58,0.57,280.42,10.89,6,3,4,Tienda,Tarde,16,Banca_Movil
CLI_000009,postpago,23,True,True,OFE_015,True,False,True,OFE_005,164.48,26-35,Lima,True,24.45,304.19,17.01,4.65,109.67,13.36,0,0,14,Digital,Tarde,25,App_MiMovistar
CLI_000010,postpago,115,True,False,sin_servicio_hogar,False,False,False,OFE_020,260.34,65+,Piura,False,72.8,794.68,12.68,12.5,145.81,17.78,0,2,38,Call_In,Manana,25,App_MiMovistar
CLI_000011,prepago,34,True,False,sin_servicio_hogar,False,False,False,OFE_020,149.06,26-35,La Libertad,False,52.75,736.62,41.34,10.16,62.8,14.67,6,3,24,Digital,Tarde,25,Banca_Movil
CLI_000012,postpago,108,True,True,OFE_007,True,False,True,OFE_004,90.54,65+,Lima,True,43.38,342.21,39.16,9.99,298.23,38.4,6,0,15,Tienda,Tarde,22,Efectivo_Agente
CLI_000013,postpago,104,True,True,OFE_015,True,False,True,OFE_002,276.83,26-35,Arequipa,False,71.54,377.07,2.53,13.4,167.29,19.55,1,0,49,Digital,Tarde,15,Debito_Automatico
CLI_000014,postpago,48,True,True,OFE_008,True,False,True,OFE_004,65.2,18-25,Arequipa,True,1.46,413.99,8.57,26.84,167.86,11.95,6,1,18,Call_Out,Manana,16,App_MiMovistar
CLI_000015,postpago,81,True,True,OFE_006,True,False,True,OFE_001,201.28,26-35,Lima,True,68.43,190.31,25.39,20.5,237.18,3.75,0,0,39,Call_In,Tarde,19,Banca_Movil
CLI_000016,prepago,54,True,True,OFE_010,True,False,False,OFE_005,265.48,56-65,Cusco,False,98.65,929.73,4.11,17.59,201.22,40.72,6,1,18,Call_In,Manana,26,Efectivo_Agente
CLI_000017,postpago,36,True,True,OFE_016,False,False,True,OFE_017,192.17,65+,La Libertad,True,95.56,629.39,17.84,12.51,76.23,28.12,6,4,16,Tienda,Noche,20,Efectivo_Agente
