ofrecimiento_id,cliente_id,oferta_id,fecha,canal,resultado,motivo_rechazo,es_rebate,contactabilidad,medio_probatorio,tipo_cliente,antiguedad_meses,elegible_mt,es_movistar_total,nombre_oferta,tipo_oferta,oferta_es_mt,duracion_interaccion_segundos
OFR_0000001,CLI_075722,OFE_016,2026-01-15,Tienda,rechazada,otro,False,contactado,chat_log,no_aplica,117,False,False,Upgrade Premium 16,upgrade,False,157
OFR_0000002,CLI_075722,OFE_020,2026-05-01,Call_Out,rechazada,precio,False,contactado,registro_plataforma,no_aplica,117,False,False,Paquete Adicional Básico 20,paquete_adicional,False,31
OFR_0000003,CLI_080185,OFE_011,2026-06-10,Call_In,rechazada,no_confia,False,contactado,registro_plataforma,postpago,52,True,False,Movistar Total Premium 11,movistar_total,True,58
OFR_0000004,CLI_080185,OFE_003,2026-03-28,Digital,rechazada,no_confia,False,contactado,chat_log,postpago,52,True,False,Plan Movil Básico 3,plan_movil,False,87
OFR_0000005,CLI_019865,OFE_020,2026-05-27,Tienda,rechazada,precio,False,contactado,chat_log,postpago,87,False,False,Paquete Adicional Básico 20,paquete_adicional,False,33
OFR_0000006,CLI_019865,OFE_014,2026-01-09,Tienda,aceptada,no_aplica,True,contactado,chat_log,postpago,87,False,False,Upgrade Premium 14,upgrade,False,561
OFR_0000007,CLI_019865,OFE_013,2026-01-13,Call_In,rechazada,mal_momento,False,contactado,registro_plataforma,postpago,87,False,False,Movistar Total Premium 13,movistar_total,True,63
OFR_0000008,CLI_076700,OFE_010,2026-03-02,Tienda,rechazada,precio,False,contactado,audio_llamada,postpago,108,True,False,Plan Hogar Premium 10,plan_hogar,False,135
OFR_0000009,CLI_076700,OFE_003,2026-06-25,Tienda,rechazada,otro,False,contactado,audio_llamada,postpago,108,True,False,Plan Movil Básico 3,plan_movil,False,54
OFR_0000010,CLI_092992,OFE_021,2026-06-07,Call_In,rechazada,precio,False,contactado,registro_plataforma,postpago,1,False,False,Paquete Adicional Básico 21,paquete_adicional,False,93
OFR_0000011,CLI_092992,OFE_007,2026-01-10,Tienda,rechazada,no_necesita,False,contactado,chat_log,postpago,1,False,False,Plan Hogar Premium 7,plan_hogar,False,60
OFR_0000012,CLI_092992,OFE_011,2026-01-29,Call_In,rechazada,mal_momento,False,contactado,audio_llamada,postpago,1,False,False,Movistar Total Premium 11,movistar_total,True,161
OFR_0000013,CLI_076435,OFE_008,2026-02-08,Call_Out,pendiente,no_aplica,False,no_contactado,sin_contacto,prepago,40,False,False,Plan Hogar Premium 8,plan_hogar,False,27
OFR_0000014,CLI_076435,OFE_013,2026-03-07,Call_Out,pendiente,no_aplica,False,no_contactado,sin_contacto,prepago,40,False,False,Movistar Total Premium 13,movistar_total,True,15
OFR_0000015,CLI_076435,OFE_004,2026-04-28,Tienda,aceptada,no_aplica,False,contactado,audio_llamada,prepago,40,False,False,Plan Movil Premium 4,plan_movil,False,427
OFR_0000016,CLI_084005,OFE_002,2026-02-25,Digital,rechazada,ya_tiene_similar,False,contactado,audio_llamada,postpago,42,True,False,Plan Movil Premium 2,plan_movil,False,77
OFR_0000017,CLI_084005,OFE_011,2026-03-08,Call_Out,rechazada,mal_momento,False,contactado,registro_plataforma,postpago,42,True,False,Movistar Total Premium 11,movistar_total,True,88
OFR_0000018,CLI_084005,OFE_004,2026-04-18,Digital,rechazada,otro,False,contactado,registro_plataforma,postpago,42,True,False,Plan Movil Premium 4,plan_movil,False,40
OFR_0000019,CLI_080918,OFE_020,2026-04-09,Digital,rechazada,ya_tiene_similar,False,contactado,chat_log,no_aplica,75,False,False,Paquete Adicional Básico 20,paquete_adicional,False,81
OFR_0000020,CLI_080918,OFE_014,2026-04-18,Tienda,rechazada,no_confia,False,contactado,audio_llamada,no_aplica,75,False,False,Upgrade Premium 14,upgrade,False,33
OFR_0000021,CLI_080918,OFE_016,2026-03-25,Tienda,rechazada,ya_tiene_similar,False,contactado,registro_plataforma,no_aplica,75,False,False,Upgrade Premium 16,upgrade,False,53
OFR_0000022,CLI_060768,OFE_006,2026-02-02,Tienda,rechazada,precio,False,contactado,audio_llamada,postpago,71,False,False,Plan Hogar Premium 6,plan_hogar,False,95
OFR_0000023,CLI_060768,OFE_011,2026-02-02,Call_Out,rechazada,otro,False,contactado,registro_plataforma,postpago,71,False,False,Movistar Total Premium 11,movistar_total,True,120
OFR_0000024,CLI_060768,OFE_020,2026-05-30,Call_Out,pendiente,no_aplica,False,no_contactado,sin_contacto,postpago,71,False,False,Paquete Adicional Básico 20,paquete_adicional,False,4
OFR_0000025,CLI_050075,OFE_010,2026-01-26,Call_In,aceptada,no_aplica,False,contactado,audio_llamada,postpago,72,True,False,Plan Hogar Premium 10,plan_hogar,False,394
OFR_0000026,CLI_050075,OFE_018,2026-04-06,Call_Out,pendiente,no_aplica,False,no_contactado,sin_contacto,postpago,72,True,False,Equipo Básico 18,equipo,False,24
OFR_0000027,CLI_027702,OFE_012,2026-03-07,Digital,rechazada,precio,False,contactado,registro_plataforma,prepago,47,False,True,Movistar Total Premium 12,movistar_total,True,44
OFR_0000028,CLI_027702,OFE_011,2026-05-20,Tienda,rechazada,precio,False,contactado,registro_plataforma,prepago,47,False,True,Movistar Total Premium 11,movistar_total,True,98
OFR_0000029,CLI_042142,OFE_013,2026-05-17,Digital,aceptada,no_aplica,True,contactado,chat_log,postpago,75,False,False,Movistar Total Premium 13,movistar_total,True,208
OFR_0000030,CLI_042142,OFE_011,2026-02-07,Call_In,aceptada,no_aplica,False,contactado,registro_plataforma,postpago,75,False,False,Movistar Total Premium 11,movistar_total,True,352
OFR_0000031,CLI_045081,OFE_005,2026-01-20,Call_In,aceptada,no_aplica,True,contactado,registro_plataforma,no_aplica,49,False,False,Plan Movil Premium 5,plan_movil,False,475
OFR_0000032,CLI_045081,OFE_022,2026-01-06,Call_In,aceptada,no_aplica,False,contactado,registro_plataforma,no_aplica,49,False,False,Paquete Adicional Básico 22,paquete_adicional,False,599
OFR_0000033,CLI_016639,OFE_003,2026-06-16,Call_Out,rechazada,no_necesita,False,contactado,registro_plataforma,postpago,43,True,False,Plan Movil Básico 3,plan_movil,False,72
OFR_0000034,CLI_016639,OFE_018,2026-05-29,Call_Out,rechazada,precio,False,contactado,chat_log,postpago,43,True,False,Equipo Básico 18,equipo,False,83
OFR_0000035,CLI_016639,OFE_008,2026-02-08,Digital,rechazada,mal_momento,False,contactado,audio_llamada,postpago,43,True,False,Plan Hogar Premium 8,plan_hogar,False,39
OFR_0000036,CLI_020425,OFE_002,2026-01-18,Digital,rechazada,mal_momento,False,contactado,audio_llamada,postpago,29,False,False,Plan Movil Premium 2,plan_movil,False,100
OFR_0000037,CLI_020425,OFE_011,2026-02-14,Call_Out,rechazada,ya_tiene_similar,False,contactado,chat_log,postpago,29,False,False,Movistar Total Premium 11,movistar_total,True,123
OFR_0000038,CLI_020425,OFE_020,2026-04-03,Digital,rechazada,ya_tiene_similar,False,contactado,audio_llamada,postpago,29,False,False,Paquete Adicional Básico 20,paquete_adicional,False,127
OFR_0000039,CLI_088703,OFE_021,2026-01-27,Call_In,rechazada,mal_momento,False,contactado,chat_log,postpago,83,True,False,Paquete Adicional Básico 21,paquete_adicional,False,139
OFR_0000040,CLI_088703,OFE_002,2026-02-11,Call_Out,aceptada,no_aplica,False,contactado,registro_plataforma,postpago,83,True,False,Plan Movil Premium 2,plan_movil,False,266
OFR_0000041,CLI_000150,OFE_017,2026-02-20,Digital,aceptada,no_aplica,False,contactado,registro_plataforma,postpago,49,False,False,Equipo Básico 17,equipo,False,557
OFR_0000042,CLI_000150,OFE_017,2026-03-10,Tienda,rechazada,no_confia,False,contactado,registro_plataforma,postpago,49,False,False,Equipo Básico 17,equipo,False,96
OFR_0000043,CLI_001762,OFE_010,2026-02-10,Digital,rechazada,otro,False,contactado,chat_log,prepago,4,False,False,Plan Hogar Premium 10,plan_hogar,False,168
OFR_0000044,CLI_001762,OFE_011,2026-03-05,Digital,aceptada,no_aplica,False,contactado,audio_llamada,prepago,4,False,False,Movistar Total Premium 11,movistar_total,True,541
OFR_0000045,CLI_063121,OFE_020,2026-04-07,Call_Out,rechazada,otro,False,contactado,chat_log,postpago,91,True,False,Paquete Adicional Básico 20,paquete_adicional,False,176
OFR_0000046,CLI_063121,OFE_011,2026-05-06,Tienda,rechazada,precio,False,contactado,chat_log,postpago,91,True,False,Movistar Total Premium 11,movistar_total,True,92
OFR_0000047,CLI_069162,OFE_018,2026-03-26,Digital,aceptada,no_aplica,False,contactado,audio_llamada,no_aplica,1,False,False,Equipo Básico 18,equipo,False,423
OFR_0000048,CLI_069162,OFE_012,2026-03-30,Digital,rechazada,ya_tiene_similar,False,contactado,chat_log,no_aplica,1,False,False,Movistar Total Premium 12,movistar_total,True,120
OFR_0000049,CLI_064884,OFE_020,2026-03-25,Call_Out,pendiente,no_aplica,False,no_contactado,sin_contacto,postpago,99,True,False,Paquete Adicional Básico 20,paquete_adicional,False,15
OFR_0000050,CLI_064884,OFE_003,2026-06-25,Call_Out,rechazada,precio,False,contactado,chat_log,postpago,99,True,False,Plan Movil Básico 3,plan_movil,False,130
OFR_0000051,CLI_064884,OFE_009,2026-01-14,Digital,rechazada,mal_momento,False,contactado,registro_plataforma,postpago,99,True,False,Plan Hogar Premium 9,plan_hogar,False,176
OFR_0000052,CLI_002496,OFE_006,2026-03-26,Tienda,rechazada,precio,False,contactado,audio_llamada,postpago,40,True,False,Plan Hogar Premium 6,plan_hogar,False,103
OFR_0000053,CLI_002496,OFE_010,2026-01-17,Call_Out,aceptada,no_aplica,False,contactado,audio_llamada,postpago,40,True,False,Plan Hogar Premium 10,plan_hogar,False,398
OFR_0000054,CLI_002496,OFE_013,2026-03-14,Call_In,rechazada,otro,False,contactado,chat_log,postpago,40,True,False,Movistar Total Premium 13,movistar_total,True,119
OFR_0000055,CLI_080297,OFE_006,2026-05-31,Call_Out,pendiente,no_aplica,False,no_contactado,sin_contacto,prepago,77,False,False,Plan Hogar Premium 6,plan_hogar,False,8
OFR_0000056,CLI_080297,OFE_001,2026-04-10,Call_Out,rechazada,otro,False,contactado,audio_llamada,prepago,77,False,False,Plan Movil Premium 1,plan_movil,False,30
OFR_0000057,CLI_080297,OFE_017,2026-04-12,Call_Out,pendiente,no_aplica,False,no_contactado,sin_contacto,prepago,77,False,False,Equipo Básico 17,equipo,False,6
OFR_0000058,CLI_019448,OFE_004,2026-01-10,Tienda,aceptada,no_aplica,False,contactado,registro_plataforma,prepago,86,False,False,Plan Movil Premium 4,plan_movil,False,555
OFR_0000059,CLI_019448,OFE_017,2026-03-09,Tienda,rechazada,no_confia,False,contactado,audio_llamada,prepago,86,False,False,Equipo Básico 17,equipo,False,93
OFR_0000060,CLI_019448,OFE_011,2026-02-20,Call_Out,pendiente,no_aplica,False,no_contactado,sin_contacto,prepago,86,False,False,Movistar Total Premium 11,movistar_total,True,3
OFR_0000061,CLI_041332,OFE_003,2026-01-19,Tienda,rechazada,precio,False,contactado,audio_llamada,postpago,57,True,False,Plan Movil Básico 3,plan_movil,False,42
OFR_0000062,CLI_041332,OFE_011,2026-05-03,Call_Out,pendiente,no_aplica,False,no_contactado,sin_contacto,postpago,57,True,False,Movistar Total Premium 11,movistar_total,True,20
OFR_0000063,CLI_014889,OFE_021,2026-04-29,Call_In,rechazada,ya_tiene_similar,False,contactado,registro_plataforma,no_aplica,66,False,False,Paquete Adicional Básico 21,paquete_adicional,False,144
OFR_0000064,CLI_014889,OFE_014,2026-05-11,Digital,rechazada,no_necesita,False,contactado,chat_log,no_aplica,66,False,False,Upgrade Premium 14,upgrade,False,55
