cliente_id,tipo_cliente,antiguedad_meses,tiene_movil,tiene_hogar,oferta_hogar_id,tiene_internet_hogar,es_movistar_total,elegible_mt,plan_actual_id,monto_facturado_prom,edad_rango,ubicacion_departamento,es_usuario_app,consumo_datos_gb_prom,consumo_voz_min_prom,consumo_sms_prom,uso_app_movistar_prom,monto_facturado_prom_6m,dias_mora_prom,meses_moroso,n_reclamos,n_actividad_canal,canal_mas_usado,mejor_franja_horaria_contacto,dias_agotamiento_datos_promedio,metodo_pago_frecuente,provincia,id_provincia,id_departamento
CLI_075722,no_aplica,117,False,True,OFE_015,True,False,False,OFE_008,219.27,36-45,Piura,False,0.0,0.0,0.0,0.0,202.2,31.55,1,4,40,Call_In,Tarde,-1,App_MiMovistar,Piura,PIURA,PIURA
CLI_080185,postpago,52,True,True,OFE_016,True,False,True,OFE_004,216.08,18-25,Lima,True,44.79,846.29,1.61,25.35,265.0,20.38,1,3,5,Call_Out,Noche,11,Banca_Movil,Lima,LIMA,LIMA
CLI_019865,postpago,87,True,False,sin_servicio_hogar,False,False,False,OFE_001,37.32,26-35,Lima,True,36.97,645.9,3.18,25.38,147.6,17.63,2,0,49,Call_In,Manana,30,Efectivo_Agente,Lima,LIMA,LIMA
CLI_076700,postpago,108,True,True,OFE_007,True,False,True,OFE_004,65.22,36-45,Lima,True,17.89,192.68,13.11,3.52,145.15,36.99,1,3,30,Digital,Fin_de_semana,12,Debito_Automatico,Yauyos,YAUYOS,LIMA
CLI_092992,postpago,1,True,False,sin_servicio_hogar,False,False,False,OFE_004,187.44,26-35,Arequipa,True,21.25,300.77,32.6,15.15,135.69,8.4,1,2,31,Call_Out,Tarde,22,Efectivo_Agente,Arequipa,AREQUIPA,AREQUIPA
CLI_076435,prepago,40,True,True,OFE_016,False,False,False,OFE_020,115.59,36-45,La Libertad,False,64.86,792.12,19.83,12.5,54.04,7.02,0,4,6,Digital,Manana,12,Efectivo_Agente,Trujillo,TRUJILLO,LA_LIBERTAD
CLI_084005,postpago,42,True,True,OFE_008,True,False,True,OFE_001,130.59,56-65,Cusco,True,12.44,31.65,6.87,29.97,198.38,28.52,6,2,27,Tienda,Manana,18,App_MiMovistar,Quispicanchi,QUISPICANCHI,CUSCO
CLI_080918,no_aplica,75,False,True,OFE_006,True,False,False,OFE_007,135.14,65+,Arequipa,False,0.0,0.0,0.0,0.0,255.41,29.44,5,0,23,Call_In,Tarde,-1,Efectivo_Agente,Arequipa,AREQUIPA,AREQUIPA
CLI_060768,postpago,71,True,False,sin_servicio_hogar,False,False,False,OFE_001,157.04,46-55,Lima,False,47.88,4.51,14.93,18.2,44.59,4.45,1,0,46,Tienda,Tarde,11,App_MiMovistar,Lima,LIMA,LIMA
CLI_050075,postpago,72,True,True,OFE_015,False,False,True,OFE_022,123.13,46-55,Arequipa,True,48.71,439.76,12.31,20.1,267.58,34.29,6,2,22,Tienda,Tarde,16,Banca_Movil,Arequipa,AREQUIPA,AREQUIPA
CLI_027702,prepago,47,True,True,OFE_011,True,True,False,OFE_011,263.92,18-25,Cusco,True,49.56,920.45,14.07,14.77,221.94,11.78,2,2,13,Call_In,Tarde,11,App_MiMovistar,Cusco,CUSCO,CUSCO
CLI_042142,postpago,75,True,False,sin_servicio_hogar,False,False,False,OFE_018,50.99,65+,Lima,True,53.39,756.92,17.3,23.65,167.84,36.73,3,1,26,Call_In,Noche,27,App_MiMovistar,Huarochiri,HUAROCHIRI,LIMA
CLI_045081,no_aplica,49,False,True,OFE_007,True,False,False,OFE_007,81.49,56-65,Cusco,False,0.0,0.0,0.0,0.0,129.6,28.54,3,4,11,Call_In,Tarde,-1,Banca_Movil,Urubamba,URUBAMBA,CUSCO
CLI_016639,postpago,43,True,True,OFE_016,True,False,True,OFE_004,109.09,65+,Lima,True,63.43,590.31,42.06,2.72,282.84,23.07,2,4,35,Call_Out,Noche,19,Efectivo_Agente,Yauyos,YAUYOS,LIMA
CLI_020425,postpago,29,True,False,sin_servicio_hogar,False,False,False,OFE_014,218.22,26-35,La Libertad,True,87.65,403.23,39.6,16.19,150.82,34.08,6,0,37,Call_Out,Tarde,26,Efectivo_Agente,Pataz,PATAZ,LA_LIBERTAD
CLI_088703,postpago,83,True,True,OFE_015,True,False,True,OFE_022,90.14,46-55,Piura,True,57.82,666.78,44.72,27.61,118.47,16.2,6,1,47,Call_In,Noche,14,Efectivo_Agente,Morropon,MORROPON,PIURA
CLI_000150,postpago,49,True,False,sin_servicio_hogar,False,False,False,OFE_005,41.45,65+,Lima,False,31.59,399.54,14.6,6.34,181.86,32.01,3,0,31,Tienda,Noche,21,Efectivo_Agente,Huaura,HUAURA,LIMA
CLI_001762,prepago,4,True,True,OFE_009,True,False,False,OFE_002,118.79,36-45,Arequipa,True,32.73,568.29,30.31,27.09,185.83,29.5,1,1,24,Call_Out,Noche,14,Banca_Movil,Castilla,CASTILLA,AREQUIPA
CLI_063121,postpago,91,True,True,OFE_007,True,False,True,OFE_021,168.05,65+,Cusco,True,57.45,168.38,21.3,4.35,181.65,21.2,6,0,40,Call_Out,Noche,29,Debito_Automatico,Urubamba,URUBAMBA,CUSCO
CLI_069162,no_aplica,1,False,True,OFE_009,True,False,False,OFE_009,56.69,36-45,Cusco,True,0.0,0.0,0.0,0.0,299.85,9.14,2,4,40,Tienda,Fin_de_semana,-1,Debito_Automatico,Cusco,CUSCO,CUSCO
CLI_064884,postpago,99,True,True,OFE_015,True,False,True,OFE_002,40.9,65+,La Libertad,True,11.35,131.74,36.25,12.12,111.69,10.49,1,1,32,Call_Out,Fin_de_semana,14,App_MiMovistar,Sanchez Carrion,SANCHEZ_CARRION,LA_LIBERTAD
